symbol,price,price_change,price_percent_change
ATKR,72.51 +2.56 (+3.66%),2.56,+3.66%
WSM,214.60 +7.54 (+3.64%),7.54,+3.64%
RELY,27.14 +0.95 (+3.63%),0.95,+3.63%
CRBG,33.18 +1.16 (+3.62%),1.16,+3.62%
ITUB,6.09 +0.21 (+3.57%),0.21,+3.57%
NVCR,22.48 +0.77 (+3.55%),0.77,+3.55%
PPC,53.88 +1.83 (+3.52%),1.83,+3.52%
SITE,146.09 +4.93 (+3.49%),4.93,+3.49%
CXT,59.81 +2.01 (+3.48%),2.01,+3.48%
INTR,5.47 +0.18 (+3.40%),0.18,+3.40%
ETSY,57.20 +1.88 (+3.40%),1.88,+3.40%
WMG,36.30 +1.19 (+3.39%),1.19,+3.39%
CHEF,65.30 +2.12 (+3.36%),2.12,+3.36%
MRNA,32.99 +1.07 (+3.35%),1.07,+3.35%
UAL,104.26 +3.37 (+3.34%),3.37,+3.34%
VKTX,30.48 +0.98 (+3.32%),0.98,+3.32%
FUTU,121.82 +3.90 (+3.31%),3.9,+3.31%
JOBY,7.83 +0.25 (+3.30%),0.25,+3.30%
VLO,135.31 +4.32 (+3.30%),4.32,+3.30%
ALV,98.15 +3.11 (+3.27%),3.11,+3.27%
R,166.34 +5.27 (+3.27%),5.27,+3.27%
OMF,56.96 +1.75 (+3.17%),1.75,+3.17%
MATX,146.32 +4.48 (+3.16%),4.48,+3.16%
CPA,97.78 +2.98 (+3.14%),2.98,+3.14%
AB,37.08 +1.13 (+3.14%),1.13,+3.14%
TAP,60.36 +1.82 (+3.11%),1.82,+3.11%
APO,162.81 +4.89 (+3.10%),4.89,+3.10%
DFS,195.97 +5.86 (+3.08%),5.86,+3.08%
RHI,60.15 +1.79 (+3.07%),1.79,+3.07%
RSG,231.37 +6.88 (+3.06%),6.88,+3.06%
OSCR,13.46 +0.40 (+3.06%),0.4,+3.06%
C,84.61 +2.51 (+3.06%),2.51,+3.06%
MBLY,17.97 +0.53 (+3.04%),0.53,+3.04%
AMX,15.28 +0.45 (+3.03%),0.45,+3.03%
NXT,47.30 +1.39 (+3.03%),1.39,+3.03%
MBGYY,16.02 +0.47 (+3.02%),0.47,+3.02%
RXO,21.57 +0.63 (+3.01%),0.63,+3.01%
DINO,38.01 +1.11 (+3.01%),1.11,+3.01%
KLC,20.55 +0.60 (+3.01%),0.6,+3.01%
DE,480.22 +14.00 (+3.00%),14.0,+3.00%
