,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
128,BBWI,"Bath & Body Works, Inc.",,28.42 +0.92 (+3.35%),0.92,+3.35%,4.852M,5.615M,6.088B,7.87,-37.30%,
129,MTDR,Matador Resources Company,,41.47 +1.34 (+3.34%),1.34,+3.34%,2.577M,1.72M,5.192B,5.81,-38.01%,
130,FANUY,Fanuc Corporation,,12.09 +0.39 (+3.33%),0.39,+3.33%,45998,476873,22.69B,23.71,-16.22%,
131,SRRK,Scholar Rock Holding Corporation,,30.75 +0.99 (+3.33%),0.99,+3.33%,914781,1.129M,2.917B,-,113.33%,
132,ABBNY,ABB Ltd,,52.03 +1.67 (+3.32%),1.67,+3.32%,329597,260462,95.866B,24.43,4.13%,
133,AFRM,"Affirm Holdings, Inc.",,42.10 +1.34 (+3.29%),1.34,+3.29%,4.597M,8.284M,13.476B,-,30.85%,
134,PRKS,United Parks & Resorts Inc.,,44.38 +1.41 (+3.28%),1.41,+3.28%,481615,965101,2.442B,11.71,-16.38%,
135,OXY,Occidental Petroleum Corporation,,39.71 +1.26 (+3.28%),1.26,+3.28%,13.282M,13.444M,38.982B,17.57,-41.78%,
136,ASO,"Academy Sports and Outdoors, Inc.",,37.85 +1.20 (+3.27%),1.2,+3.27%,1.581M,1.813M,2.536B,6.61,-35.11%,
137,RCI,Rogers Communications Inc.,,25.91 +0.82 (+3.27%),0.82,+3.27%,1.036M,1.244M,14.291B,11.27,-34.49%,
138,LYSDY,Lynas Rare Earths Limited,,5.71 +0.18 (+3.25%),0.18,+3.25%,126014,171670,5.337B,190.33,31.67%,
139,LANC,Lancaster Colony Corporation,,189.03 +5.93 (+3.24%),5.93,+3.24%,174386,167600,5.212B,33.22,-0.28%,
140,KNX,Knight-Swift Transportation Holdings Inc.,,39.39 +1.23 (+3.22%),1.23,+3.22%,2.473M,3.163M,6.381B,53.96,-20.30%,
141,OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",,83.53 +2.60 (+3.21%),2.6,+3.21%,26892,75977,4B,16.44,7.48%,
142,AKR,Acadia Realty Trust,,19.92 +0.62 (+3.21%),0.62,+3.21%,1.034M,1.145M,2.582B,104.84,15.22%,
143,KR,The Kroger Co.,,71.22 +2.21 (+3.20%),2.21,+3.20%,11.454M,6.925M,47.069B,19.41,24.19%,
144,NTDOY,"Nintendo Co., Ltd.",,18.06 +0.56 (+3.20%),0.56,+3.20%,293457,2.598M,84.255B,37.62,44.39%,
145,SOFI,"SoFi Technologies, Inc.",,10.98 +0.32 (+3.00%),0.32,+3.00%,46.571M,51.23M,12.123B,28.15,49.51%,
146,GGAL,Grupo Financiero Galicia S.A.,,61.95 +1.91 (+3.18%),1.91,+3.18%,1.307M,1.236M,10.267B,7.26,114.20%,
147,CLSK,"CleanSpark, Inc.",,7.51 +0.23 (+3.16%),0.23,+3.16%,21.121M,24.825M,2.109B,-,-55.14%,
148,DHI,"D.R. Horton, Inc.",,121.25 +3.71 (+3.16%),3.71,+3.16%,6.393M,3.891M,38.901B,8.58,-19.43%,
149,TIMB,TIM S.A.,,15.37 +0.47 (+3.15%),0.47,+3.15%,244541,612254,7.466B,13.85,-8.98%,
150,BPMC,Blueprint Medicines Corporation,,84.69 +2.58 (+3.14%),2.58,+3.14%,634338,1.079M,5.412B,-,-7.64%,
151,APLE,"Apple Hospitality REIT, Inc.",,11.88 +0.36 (+3.12%),0.36,+3.12%,2.317M,2.712M,2.838B,13.35,-22.84%,
152,SPGYF,Whitecap Resources Inc.,,5.95 +0.18 (+3.12%),0.18,+3.12%,21369,423763,3.496B,6.07,-22.86%,
153,NSRGY,Nestlé S.A.,,107.70 +3.25 (+3.11%),3.25,+3.11%,353885,835193,280.577B,20.95,2.41%,
154,FNB,F.N.B. Corporation,,12.61 +0.38 (+3.11%),0.38,+3.11%,5.441M,2.86M,4.536B,9.93,-4.15%,
155,MAC,The Macerich Company,,14.68 +0.44 (+3.09%),0.44,+3.09%,1.609M,2.398M,3.87B,-,-6.13%,
156,CZR,"Caesars Entertainment, Inc.",,25.51 +0.76 (+3.07%),0.76,+3.07%,3.721M,5.542M,5.408B,-,-34.83%,
157,COP,ConocoPhillips,,88.98 +2.62 (+3.03%),2.62,+3.03%,7.675M,9.303M,112.486B,11.39,-32.43%,
158,CRC,California Resources Corporation,,35.68 +1.05 (+3.03%),1.05,+3.03%,528667,1.038M,3.234B,7.72,-35.50%,
159,KBH,KB Home,,51.67 +1.52 (+3.03%),1.52,+3.03%,1.796M,1.503M,3.706B,6.32,-16.98%,
160,HOG,"Harley-Davidson, Inc.",,22.51 +0.66 (+3.02%),0.66,+3.02%,2.296M,2.687M,2.785B,6.54,-42.24%,
161,HBAN,Huntington Bancshares Incorporated,,13.67 +0.40 (+3.01%),0.4,+3.01%,30.776M,23.593M,19.968B,11.20,0.68%,
162,COLD,"Americold Realty Trust, Inc.",,20.21 +0.59 (+3.01%),0.59,+3.01%,1.78M,2.535M,5.773B,-,-13.68%,
163,LIF,"Life360, Inc.",,37.39 +1.09 (+3.00%),1.09,+3.00%,395422,536562,2.824B,-,34.44%,
