,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
44,FLG,"Flagstar Financial, Inc.",,13.22 +0.71 (+5.68%),0.71,+5.68%,8.364M,6.361M,5.485B,-,-6.04%,
45,RIVN,"Rivian Automotive, Inc.",,14.03 +0.73 (+5.49%),0.73,+5.49%,33.452M,36.145M,14.32B,-,-11.71%,
46,FROG,JFrog Ltd.,,39.80 +2.09 (+5.54%),2.09,+5.54%,4.717M,981696,4.44B,-,-6.35%,
47,LGND,Ligand Pharmaceuticals Incorporated,,120.00 +6.07 (+5.33%),6.07,+5.33%,115768,104280,2.267B,48.00,65.81%,
48,FTAI,FTAI Aviation Ltd.,,113.59 +5.67 (+5.25%),5.67,+5.25%,1.723M,2.796M,11.649B,-,114.77%,
49,FNMA,Federal National Mortgage Association,,7.09 +0.35 (+5.19%),0.35,+5.19%,4.028M,17.726M,8.211B,-,458.27%,
50,PHIN,PHINIA Inc.,,51.74 +2.54 (+5.16%),2.54,+5.16%,631542,492870,2.112B,29.40,64.46%,
51,VSH,"Vishay Intertechnology, Inc.",,18.63 +0.88 (+4.96%),0.88,+4.96%,2.105M,2.369M,2.526B,-,-14.70%,
52,HTHT,H World Group Limited,,36.46 +1.66 (+4.77%),1.66,+4.77%,4.73M,2.074M,11.424B,22.79,1.36%,
53,ELP,Companhia Paranaense de Energia - COPEL,,7.26 +0.33 (+4.76%),0.33,+4.76%,469399,283670,4.928B,12.74,-13.98%,
54,ALGM,"Allegro MicroSystems, Inc.",,25.74 +1.17 (+4.76%),1.17,+4.76%,3.399M,2.305M,4.739B,-,-16.40%,
55,CVNA,Carvana Co.,,285.33 +12.93 (+4.75%),12.93,+4.75%,3.936M,3.081M,33.368B,-,450.72%,
56,SLM,SLM Corporation,,31.43 +1.41 (+4.70%),1.41,+4.70%,2.786M,2.73M,6.613B,11.73,55.13%,
57,GKOS,Glaukos Corporation,,153.20 +6.82 (+4.66%),6.82,+4.66%,747249,546563,8.447B,-,66.29%,
58,PWP,Perella Weinberg Partners,,23.83 +1.06 (+4.66%),1.06,+4.66%,578352,639251,2.067B,-,83.03%,
59,COMP,"Compass, Inc.",,7.93 +0.35 (+4.62%),0.35,+4.62%,6.8M,4.649M,4.375B,-,117.26%,
60,SITM,SiTime Corporation,,177.41 +7.82 (+4.61%),7.82,+4.61%,248551,244770,4.145B,-,69.06%,
61,IOT,Samsara Inc.,,58.96 +2.59 (+4.59%),2.59,+4.59%,3.557M,3.161M,33.088B,-,79.05%,
62,TNXP,Tonix Pharmaceuticals Holding Corp.,,11.95 +0.52 (+4.55%),0.52,+4.55%,368646,1.667M,66.806M,-,-98.99%,
63,OS,"OneStream, Inc.",,25.57 +1.11 (+4.54%),1.11,+4.54%,2.267M,1.352M,4.44B,-,-4.77%,
64,PARA,Paramount Global,,11.30 +0.49 (+4.53%),0.49,+4.53%,15.125M,9.841M,8.02B,-,-5.44%,
65,JD,"JD.com, Inc.",,41.38 +1.79 (+4.52%),1.79,+4.52%,13.302M,10.273M,67.436B,13.44,78.13%,
66,AGCO,AGCO Corporation,,98.05 +4.20 (+4.48%),4.2,+4.48%,1.022M,932215,7.319B,-,-7.91%,
67,XPEV,XPeng Inc.,,16.66 +0.71 (+4.45%),0.71,+4.45%,9.373M,10.547M,15.631B,-,85.11%,
68,PBR,Petróleo Brasileiro S.A. - Petrobras,,14.32 +0.61 (+4.45%),0.61,+4.45%,17.706M,13.891M,85.18B,5.59,-18.82%,
69,ALK,"Alaska Air Group, Inc.",,75.74 +3.20 (+4.41%),3.2,+4.41%,2.217M,2.778M,9.325B,24.59,94.60%,
70,ARWR,"Arrowhead Pharmaceuticals, Inc.",,19.95 +0.84 (+4.40%),0.84,+4.40%,894896,2.062M,2.516B,-,-31.72%,
71,HCM,HUTCHMED (China) Limited,,13.80 +0.58 (+4.39%),0.58,+4.39%,77646,74245,2.359B,-,-4.23%,
72,STNE,StoneCo Ltd.,,9.78 +0.41 (+4.38%),0.41,+4.38%,8.576M,5.835M,2.902B,8.81,-40.98%,
73,BABA,Alibaba Group Holding Limited,,124.73 +5.19 (+4.34%),5.19,+4.34%,52.086M,19.644M,302.871B,25.93,70.54%,
74,PTCT,"PTC Therapeutics, Inc.",,51.82 +2.15 (+4.33%),2.15,+4.33%,725436,734378,3.997B,-,99.46%,
75,CWST,"Casella Waste Systems, Inc.",,111.36 +4.59 (+4.30%),4.59,+4.30%,518559,300241,7.051B,484.17,22.76%,
76,PBR-A,Petróleo Brasileiro S.A. - Petrobras,,13.15 +0.54 (+4.28%),0.54,+4.28%,6.635M,5.034M,85.18B,5.14,-23.50%,
77,CE,Celanese Corporation,,68.06 +2.76 (+4.23%),2.76,+4.23%,3.216M,2.51M,7.44B,6.78,-54.44%,
78,FN,Fabrinet,,223.04 +9.01 (+4.21%),9.01,+4.21%,617109,611163,8.027B,24.95,21.49%,
79,CRC,California Resources Corporation,,48.23 +1.94 (+4.19%),1.94,+4.19%,939684,684818,4.407B,6.87,-9.43%,
80,HWM,Howmet Aerospace Inc.,,133.42 +5.34 (+4.17%),5.34,+4.17%,3.732M,2.502M,54.038B,47.31,111.41%,
81,ATAT,Atour Lifestyle Holdings Limited,,30.80 +1.23 (+4.16%),1.23,+4.16%,1.946M,1.179M,4.238B,26.78,65.86%,
82,VRNA,Verona Pharma plc,,64.21 +2.54 (+4.12%),2.54,+4.12%,1.873M,1.242M,5.254B,-,277.71%,
83,EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,,6.58 +0.26 (+4.11%),0.26,+4.11%,988720,1.572M,14.362B,8.66,-27.21%,
84,CCS,"Century Communities, Inc.",,74.68 +2.94 (+4.10%),2.94,+4.10%,500074,420906,2.312B,7.18,-12.53%,
85,SONY,Sony Group Corporation,,24.14 +0.95 (+4.10%),0.95,+4.10%,5.032M,3.503M,145.928B,20.12,37.39%,
86,CAR,"Avis Budget Group, Inc.",,90.75 +3.56 (+4.08%),3.56,+4.08%,1.055M,601143,3.189B,-,-14.59%,
87,JXN,Jackson Financial Inc.,,96.66 +3.76 (+4.05%),3.76,+4.05%,638184,584436,7.139B,-,88.49%,
88,MU,"Micron Technology, Inc.",,99.52 +3.86 (+4.04%),3.86,+4.04%,21.25M,23.599M,110.882B,28.52,23.31%,
89,SSD,"Simpson Manufacturing Co., Inc.",,174.28 +6.67 (+3.98%),6.67,+3.98%,376704,241965,7.348B,22.93,-9.66%,
90,MSTR,MicroStrategy Incorporated,,337.73 +12.81 (+3.94%),12.81,+3.94%,13.772M,24.791M,87.195B,-,379.06%,
91,BAM,Brookfield Asset Management Ltd.,,59.83 +2.26 (+3.93%),2.26,+3.93%,1.929M,1.15M,96.558B,44.98,46.71%,
92,ENVX,Enovix Corporation,,11.45 +0.43 (+3.90%),0.43,+3.90%,4.047M,6.093M,2.157B,-,-2.80%,
93,PAGS,PagSeguro Digital Ltd.,,8.04 +0.30 (+3.88%),0.3,+3.88%,2.457M,5.391M,2.508B,7.44,-37.24%,
94,AESI,Atlas Energy Solutions Inc.,,21.87 +0.81 (+3.85%),0.81,+3.85%,1.537M,1.515M,3.587B,31.70,19.18%,
95,STLA,Stellantis N.V.,,14.05 +0.52 (+3.84%),0.52,+3.84%,11.963M,9.722M,40.318B,3.11,-44.69%,
